Date,Open,High,Low,Close,Adj Close,Volume
2017-12-12,45.250000,45.520000,45.060001,45.290001,38.630650,13999300
2017-12-13,45.450001,46.049999,45.400002,45.900002,39.150948,12418700
2017-12-14,45.810001,46.169998,45.799999,46.029999,39.261841,9029000
2017-12-15,46.290001,46.419998,46.040001,46.189999,39.398312,21181600
2017-12-18,46.200001,46.380001,45.910000,45.930000,39.176548,10156800
2017-12-19,46.040001,46.380001,45.910000,46.130001,39.347134,8253200
2017-12-20,46.209999,46.299999,45.959999,46.080002,39.304485,7311000
2017-12-21,46.139999,46.220001,45.560001,45.599998,38.895061,9657100
2017-12-22,45.689999,45.730000,45.549999,45.590000,38.886536,5406300
2017-12-26,45.700001,45.860001,45.610001,45.810001,39.074184,6100400
2017-12-27,45.900002,45.939999,45.720001,45.930000,39.176548,5660600
2017-12-28,45.910000,45.990002,45.639999,45.720001,38.997421,6538900
2017-12-29,45.700001,46.180000,45.689999,45.880001,39.133900,8371500
2018-01-02,45.910000,45.939999,45.509998,45.540001,38.843887,10872200
2018-01-03,45.490002,45.689999,45.340000,45.439999,38.758591,12635600
2018-01-04,45.560001,46.220001,45.450001,46.080002,39.304485,12709400
2018-01-05,46.020000,46.200001,45.790001,46.070000,39.295959,13113100
2018-01-08,45.950001,46.099998,45.880001,46.000000,39.236252,7068600
2018-01-09,46.000000,46.360001,45.939999,46.230000,39.432430,9962400
2018-01-10,46.230000,46.259998,45.930000,46.070000,39.295959,10700700
2018-01-11,46.230000,46.230000,45.860001,46.040001,39.270370,7583200
2018-01-12,46.279999,46.389999,46.029999,46.150002,39.364193,14570100
2018-01-16,46.150002,46.619999,46.139999,46.529999,39.688320,16459300
2018-01-17,46.580002,47.000000,46.549999,46.820000,39.935680,12143100
2018-01-18,46.750000,47.070000,46.610001,46.880001,39.986862,11952900
2018-01-19,46.990002,47.250000,46.869999,47.160000,40.225689,16187400
2018-01-22,47.139999,47.500000,47.090000,47.380001,40.413342,9577400
2018-01-23,47.209999,47.700001,47.130001,47.450001,40.473042,11463700
2018-01-24,47.529999,47.950001,47.480000,47.830002,40.797176,15964500
2018-01-25,47.700001,48.000000,47.700001,47.840000,40.805702,11755000
2018-01-26,47.779999,48.619999,47.740002,48.529999,41.394257,16671200
2018-01-29,48.209999,48.459999,47.580002,47.700001,40.686287,11662600
2018-01-30,47.730000,48.160000,47.400002,47.410000,40.438927,12404800
2018-01-31,47.450001,47.900002,47.369999,47.590000,40.592457,10960100
2018-02-01,47.410000,47.730000,47.110001,47.450001,40.473042,10279400
2018-02-02,47.349998,47.410000,46.630001,46.730000,39.858913,12912300
2018-02-05,46.650002,46.919998,44.410000,44.889999,38.289467,23261500
2018-02-06,43.869999,44.740002,43.439999,44.669998,38.101814,25184300
2018-02-07,44.580002,45.500000,44.279999,44.560001,38.007980,18041600
2018-02-08,44.619999,44.619999,43.070000,43.099998,36.762661,23295300
2018-02-09,43.360001,43.459999,42.189999,43.130001,36.788258,22853100
2018-02-12,43.560001,44.230000,43.369999,43.970001,37.504738,14689000
2018-02-13,43.919998,44.410000,43.689999,44.189999,37.692387,13163200
2018-02-14,44.020000,44.189999,43.630001,44.099998,37.615627,13457900
2018-02-15,44.250000,44.830002,44.119999,44.779999,38.195641,13467300
2018-02-16,45.570000,45.639999,44.720001,44.980000,38.366226,17202300
2018-02-20,44.750000,44.830002,43.939999,43.990002,37.521805,14137300
2018-02-21,44.110001,44.259998,43.330002,43.340000,36.967377,12792900
2018-02-22,43.430000,43.820000,43.220001,43.520000,37.120903,12377800
2018-02-23,43.580002,44.060001,43.419998,44.040001,37.564445,8277200
2018-02-26,44.230000,44.389999,43.810001,44.029999,37.555908,12713300
2018-02-27,44.150002,44.310001,43.619999,43.619999,37.206192,12774400
2018-02-28,43.830002,43.910000,43.220001,43.220001,36.865021,11929400
2018-03-01,43.099998,43.639999,42.820000,43.430000,37.044144,17746800
2018-03-02,43.250000,43.799999,43.240002,43.720001,37.291500,14050100
2018-03-05,43.570000,43.939999,43.500000,43.889999,37.436501,11992700
2018-03-06,43.950001,44.049999,43.590000,43.930000,37.470619,10010500
2018-03-07,43.590000,43.919998,43.470001,43.820000,37.376797,10881700
2018-03-08,43.900002,44.459999,43.799999,44.450001,37.914162,12361100
2018-03-09,44.570000,44.820000,44.389999,44.820000,38.229759,9778600
2018-03-12,44.950001,45.090000,44.330002,44.529999,37.982395,11857700
2018-03-13,44.669998,44.830002,44.400002,44.570000,38.016510,11342100
2018-03-14,44.380001,44.430000,43.730000,43.779999,37.672318,15321200
2018-03-15,43.880001,44.000000,43.549999,43.669998,37.577656,12456700
2018-03-16,43.700001,44.020000,43.450001,43.459999,37.396965,26603300
2018-03-19,43.459999,43.709999,43.180000,43.259998,37.224861,12380300
2018-03-20,43.320000,43.480000,43.009998,43.160000,37.138813,13559800
2018-03-21,43.130001,43.450001,42.790001,43.000000,37.001137,13054000
2018-03-22,42.880001,43.369999,42.700001,42.759998,36.794617,12274100
2018-03-23,42.820000,43.160000,42.290001,42.330002,36.424603,13475200
2018-03-26,42.610001,42.810001,42.250000,42.689999,36.734379,11276100
2018-03-27,42.700001,43.310001,42.529999,42.889999,36.906475,11627000
2018-03-28,43.000000,43.700001,43.000000,43.320000,37.276489,16277400
2018-03-29,43.540001,43.919998,43.290001,43.430000,37.371151,10450500
2018-04-02,43.439999,43.500000,42.470001,42.669998,36.717167,14207900
2018-04-03,42.980000,43.540001,42.840000,43.380001,37.328125,15484600
2018-04-04,43.139999,44.400002,43.110001,44.240002,38.068142,13563300
2018-04-05,44.279999,44.610001,43.939999,44.400002,38.205826,11707800
2018-04-06,44.279999,44.520000,43.709999,43.919998,37.792782,11495100
2018-04-09,44.029999,44.310001,43.779999,43.830002,37.715340,11913400
2018-04-10,44.070000,44.180000,43.720001,43.990002,37.853024,10379500
2018-04-11,43.810001,44.139999,43.759998,43.990002,37.853024,8424300
2018-04-12,44.080002,44.410000,43.950001,44.029999,37.887440,8476400
2018-04-13,44.189999,44.689999,44.139999,44.509998,38.300476,10774200
2018-04-16,44.650002,44.889999,44.400002,44.680000,38.446758,8962100
2018-04-17,44.950001,45.029999,44.650002,44.880001,38.618862,8406400
2018-04-18,44.900002,44.970001,44.330002,44.509998,38.300476,7429000
2018-04-19,44.340000,44.470001,44.020000,44.310001,38.128387,10370400
2018-04-20,44.310001,44.410000,43.580002,43.740002,37.637909,14690700
2018-04-23,43.740002,43.990002,43.560001,43.980000,37.844410,11878500
2018-04-24,43.980000,44.099998,42.730000,43.070000,37.061371,18523900
2018-04-25,42.740002,42.889999,41.910000,42.430000,36.510651,20774700
2018-04-26,42.400002,43.099998,42.259998,42.750000,36.786015,13561000
2018-04-27,42.730000,43.340000,42.709999,43.310001,37.267891,9777900
2018-04-30,43.500000,43.689999,42.970001,43.209999,37.181835,16037700
2018-05-01,42.959999,42.990002,42.180000,42.590000,36.648327,11514200
2018-05-02,42.400002,42.590000,41.939999,42.060001,36.192272,13736400
2018-05-03,42.220001,42.400002,41.520000,41.889999,36.045982,18352200
2018-05-04,41.790001,42.500000,41.770000,42.360001,36.450428,10946200
2018-05-07,42.340000,42.490002,41.959999,42.139999,36.261112,9336000
2018-05-08,41.970001,42.090000,41.689999,41.810001,35.977154,15062200
2018-05-09,41.970001,42.230000,41.669998,41.779999,35.951328,9295200
2018-05-10,41.990002,42.360001,41.939999,42.180000,36.295528,7924200
2018-05-11,42.240002,42.470001,42.040001,42.139999,36.261112,6331900
2018-05-14,42.250000,42.320000,41.900002,42.040001,36.175060,10715500
2018-05-15,41.779999,41.919998,41.450001,41.720001,35.899708,16449700
2018-05-16,41.740002,41.939999,41.540001,41.549999,35.753426,11590500
2018-05-17,42.009998,42.349998,41.869999,42.299999,36.398792,14857400
2018-05-18,42.299999,42.380001,42.080002,42.180000,36.295528,11950200
2018-05-21,42.310001,42.520000,42.270000,42.410000,36.493446,9110200
2018-05-22,42.500000,42.599998,42.209999,42.250000,36.355762,8222900
2018-05-23,42.250000,42.450001,41.930000,42.400002,36.484833,8971400
2018-05-24,42.400002,42.470001,42.189999,42.320000,36.415993,9269600
2018-05-25,42.340000,42.580002,42.200001,42.400002,36.484833,8806500
2018-05-29,42.119999,42.849998,42.099998,42.680000,36.725780,14826900
2018-05-30,42.770000,43.279999,42.700001,43.130001,37.113007,10114200
2018-05-31,43.200001,43.209999,42.680000,43.000000,37.001137,15571300
2018-06-01,43.099998,43.320000,43.040001,43.119999,37.104401,10664700
2018-06-04,43.360001,43.590000,43.290001,43.490002,37.422775,11727600
2018-06-05,43.500000,43.540001,43.099998,43.110001,37.095795,9975900
2018-06-06,43.060001,43.459999,43.040001,43.459999,37.396965,9202900
2018-06-07,43.330002,43.730000,43.330002,43.439999,37.379753,11948100
2018-06-08,43.570000,44.000000,43.560001,43.950001,37.818604,12078800
2018-06-11,43.950001,44.250000,43.889999,44.130001,37.973492,7526100
2018-06-12,44.130001,44.419998,44.080002,44.410000,38.214424,8243300
2018-06-13,44.349998,44.520000,44.150002,44.180000,38.016510,16745000
2018-06-14,43.750000,43.849998,43.520000,43.580002,37.834206,12696200
2018-06-15,43.560001,44.150002,43.450001,44.119999,38.303001,21562500
2018-06-18,43.880001,43.959999,43.400002,43.549999,37.808163,12161900
2018-06-19,43.299999,43.750000,43.200001,43.599998,37.851563,12936400
2018-06-20,43.619999,43.779999,43.230000,43.259998,37.556377,10893700
2018-06-21,43.270000,43.299999,42.959999,43.090000,37.408806,10465200
2018-06-22,43.150002,43.410000,43.080002,43.250000,37.547710,14924400
2018-06-25,43.160000,43.750000,43.160000,43.580002,37.834206,12092400
2018-06-26,43.560001,43.840000,43.279999,43.330002,37.617165,13974700
2018-06-27,43.330002,43.610001,42.990002,43.070000,37.391449,15332600
2018-06-28,43.240002,43.680000,43.169998,43.470001,37.738701,12668900
2018-06-29,43.570000,44.099998,43.310001,43.860001,38.077286,11485600
2018-07-02,43.779999,44.160000,43.580002,43.750000,37.981789,9232500
2018-07-03,44.060001,44.330002,43.990002,43.990002,38.190147,8214300
2018-07-05,44.160000,44.669998,44.130001,44.660000,38.771809,11653000
2018-07-06,44.669998,44.939999,44.580002,44.639999,38.754440,8733900
2018-07-09,44.540001,44.730000,44.340000,44.400002,38.546089,7373100
2018-07-10,44.509998,45.000000,44.500000,44.970001,39.040943,10606100
2018-07-11,44.990002,45.000000,44.639999,44.790001,38.884666,7715600
2018-07-12,44.830002,44.959999,44.490002,44.669998,38.780491,6331600
2018-07-13,44.700001,44.779999,44.470001,44.740002,38.841263,5585900
2018-07-16,44.730000,44.799999,44.529999,44.730000,38.832581,5831400
2018-07-17,44.750000,45.389999,44.680000,45.250000,39.284016,11592200
2018-07-18,45.189999,45.290001,44.840000,45.119999,39.171158,7351600
